name,alt
Honduras,Republic Of Honduras
Honduras,Spanish Honduras
United States,Usa
Guyana,British Guiana
Bahamas,West Indies
Micronesia,Fed States Micronesia
Palau,Republic Of Palau
Uzbekistan,Uzbegistan
Congo [Republic],Democratic Republic Of Congo
Netherlands,Holland
Thailand,Siam
Marshall Islands,Republic Of The Marshall Islands
Yemen,Isle Of Perim
Myanmar [Burma],Myanmar
Micronesia,Federated States Of Micronesia
Laos,Lao Peoples Democratic Republic
Congo [DRC],Congo
Iran,Persia
Sri Lanka,Ceylon
Congo [DRC],Congo Freestate
China,Hainan
Pakistan,West Pakistan
Fiji,Republic Of Fiji
Papua New Guinea,New Guinea
Angola,Cabinda
Comoros,Comoros Islands
Russia,Nrussia
Vietnam,South Vietnam
Macedonia [FYROM],Macedonia
South Korea,Korea
United Arab Emirates,Uae
Morocco,French Morocco
Congo [DRC],Zaire
Tonga,Kingdon Of Tonga
French Guiana,Dutch Guiana
Tonga,Kingdom Of Tonga
Kiribati,Republic Of Kiribati
C̫te d'Ivoire,Cote D'Ivoire
Vanuatu,Republic Of Vanuatu
Spain,Grand Canary Island
United States,Us
Sudan,Republic Of The Sudan
Russia,Russian Federated States
Guinea,French Guinea
Malaysia,Malay
Rwanda,Ruanda
